composition	plot	richness	total	total/m2	year	a	b	c	d	e	f	g	h
('a',)	1	1	70.40073213631254	70.40073213631254	1	70.40073213631254	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.60976036841413	49.60976036841413	54	49.60976036841413	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.61321590031818	49.61321590031818	106	49.61321590031818	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.11238152269104	49.11238152269104	159	49.11238152269104	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.23277442260913	49.23277442260913	211	49.23277442260913	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.96942214371254	49.96942214371254	264	49.96942214371254	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	48.95632988051238	48.95632988051238	316	48.95632988051238	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.353538158270126	49.353538158270126	369	49.353538158270126	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.02884731925899	49.02884731925899	422	49.02884731925899	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	50.382547051074376	50.382547051074376	474	50.382547051074376	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	50.09338978540256	50.09338978540256	527	50.09338978540256	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.150166502986046	49.150166502986046	579	49.150166502986046	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.19932361026065	49.19932361026065	632	49.19932361026065	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	48.946866400008304	48.946866400008304	685	48.946866400008304	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	48.96931707577914	48.96931707577914	737	48.96931707577914	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.105832335518315	49.105832335518315	790	49.105832335518315	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.57566622377206	49.57566622377206	842	49.57566622377206	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.256620100633484	49.256620100633484	895	49.256620100633484	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.342248218416806	49.342248218416806	947	49.342248218416806	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	1	1	49.30736890474767	49.30736890474767	1000	49.30736890474767	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	70.13761520076136	70.13761520076136	1	70.13761520076136	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.66117406020136	49.66117406020136	54	49.66117406020136	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.579141303468845	49.579141303468845	106	49.579141303468845	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	48.93657198538726	48.93657198538726	159	48.93657198538726	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.220426573758964	49.220426573758964	211	49.220426573758964	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	48.932417775662636	48.932417775662636	264	48.932417775662636	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.069681388807055	49.069681388807055	316	49.069681388807055	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	48.97442519975027	48.97442519975027	369	48.97442519975027	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	50.0969663112086	50.0969663112086	422	50.0969663112086	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.68076802809343	49.68076802809343	474	49.68076802809343	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	50.28003812800246	50.28003812800246	527	50.28003812800246	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.0284521128893	49.0284521128893	579	49.0284521128893	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.56720173290115	49.56720173290115	632	49.56720173290115	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.6960401837097	49.6960401837097	685	49.6960401837097	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	48.94748927268364	48.94748927268364	737	48.94748927268364	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	48.96866518819946	48.96866518819946	790	48.96866518819946	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.4786276573167	49.4786276573167	842	49.4786276573167	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.806742929652465	49.806742929652465	895	49.806742929652465	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.30110087012512	49.30110087012512	947	49.30110087012512	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('a',)	2	1	49.050893014149	49.050893014149	1000	49.050893014149	0.0	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	113.25727142842116	113.25727142842116	1	0.0	113.25727142842116	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.392822786318625	63.392822786318625	54	0.0	63.392822786318625	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.900077565639634	63.900077565639634	106	0.0	63.900077565639634	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.35413167473929	63.35413167473929	159	0.0	63.35413167473929	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	64.43249535799357	64.43249535799357	211	0.0	64.43249535799357	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.54260027724555	63.54260027724555	264	0.0	63.54260027724555	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.2303505758988	63.2303505758988	316	0.0	63.2303505758988	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	64.23303986767239	64.23303986767239	369	0.0	64.23303986767239	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.7107409920908	63.7107409920908	422	0.0	63.7107409920908	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.29416767408294	63.29416767408294	474	0.0	63.29416767408294	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.75231823116767	63.75231823116767	527	0.0	63.75231823116767	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.51090399460926	63.51090399460926	579	0.0	63.51090399460926	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.42070763711565	63.42070763711565	632	0.0	63.42070763711565	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.682233622693154	63.682233622693154	685	0.0	63.682233622693154	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.457712451824804	63.457712451824804	737	0.0	63.457712451824804	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	65.16940292941483	65.16940292941483	790	0.0	65.16940292941483	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.929636976723465	63.929636976723465	842	0.0	63.929636976723465	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.3704968773647	63.3704968773647	895	0.0	63.3704968773647	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.95470342034692	63.95470342034692	947	0.0	63.95470342034692	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	3	1	63.22969651996005	63.22969651996005	1000	0.0	63.22969651996005	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	94.86319961009312	94.86319961009312	1	0.0	94.86319961009312	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.51950489908398	63.51950489908398	54	0.0	63.51950489908398	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.45727715580835	63.45727715580835	106	0.0	63.45727715580835	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	64.89640712649026	64.89640712649026	159	0.0	64.89640712649026	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.32509238868612	63.32509238868612	211	0.0	63.32509238868612	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.24979017088925	63.24979017088925	264	0.0	63.24979017088925	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	64.43842579896406	64.43842579896406	316	0.0	64.43842579896406	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.51228987912356	63.51228987912356	369	0.0	63.51228987912356	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.37150260623892	63.37150260623892	422	0.0	63.37150260623892	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.27380099191001	63.27380099191001	474	0.0	63.27380099191001	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.56323216477097	63.56323216477097	527	0.0	63.56323216477097	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	64.18269841014012	64.18269841014012	579	0.0	64.18269841014012	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.67514608260606	63.67514608260606	632	0.0	63.67514608260606	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.58740822470354	63.58740822470354	685	0.0	63.58740822470354	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	64.68018106500611	64.68018106500611	737	0.0	64.68018106500611	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.5230748647603	63.5230748647603	790	0.0	63.5230748647603	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.51904764752625	63.51904764752625	842	0.0	63.51904764752625	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.250996820524065	63.250996820524065	895	0.0	63.250996820524065	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	64.31585864595289	64.31585864595289	947	0.0	64.31585864595289	0.0	0.0	0.0	0.0	0.0	0.0
('b',)	4	1	63.72372759958961	63.72372759958961	1000	0.0	63.72372759958961	0.0	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	39.369636907240455	39.369636907240455	1	0.0	0.0	39.369636907240455	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.89508177827247	20.89508177827247	54	0.0	0.0	20.89508177827247	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.98539222224745	20.98539222224745	106	0.0	0.0	20.98539222224745	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.962666995972587	20.962666995972587	159	0.0	0.0	20.962666995972587	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.947910416833526	20.947910416833526	211	0.0	0.0	20.947910416833526	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.956821401487094	20.956821401487094	264	0.0	0.0	20.956821401487094	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	21.184362594235363	21.184362594235363	316	0.0	0.0	21.184362594235363	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	21.075847690455344	21.075847690455344	369	0.0	0.0	21.075847690455344	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.97877587892545	20.97877587892545	422	0.0	0.0	20.97877587892545	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.944371741074878	20.944371741074878	474	0.0	0.0	20.944371741074878	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	21.22584044918927	21.22584044918927	527	0.0	0.0	21.22584044918927	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.931591955964315	20.931591955964315	579	0.0	0.0	20.931591955964315	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	21.008410660090195	21.008410660090195	632	0.0	0.0	21.008410660090195	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.910057794693742	20.910057794693742	685	0.0	0.0	20.910057794693742	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.895532369367125	20.895532369367125	737	0.0	0.0	20.895532369367125	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.940727490887575	20.940727490887575	790	0.0	0.0	20.940727490887575	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	21.106831396541246	21.106831396541246	842	0.0	0.0	21.106831396541246	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	21.055695659897466	21.055695659897466	895	0.0	0.0	21.055695659897466	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.95980366973575	20.95980366973575	947	0.0	0.0	20.95980366973575	0.0	0.0	0.0	0.0	0.0
('c',)	5	1	20.99140102169926	20.99140102169926	1000	0.0	0.0	20.99140102169926	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	32.813338366723556	32.813338366723556	1	0.0	0.0	32.813338366723556	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.17805869639498	21.17805869639498	54	0.0	0.0	21.17805869639498	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.063439014863327	21.063439014863327	106	0.0	0.0	21.063439014863327	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	20.917407470255114	20.917407470255114	159	0.0	0.0	20.917407470255114	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.241491474619387	21.241491474619387	211	0.0	0.0	21.241491474619387	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.0389131625914	21.0389131625914	264	0.0	0.0	21.0389131625914	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	20.92499199518566	20.92499199518566	316	0.0	0.0	20.92499199518566	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.220806764311497	21.220806764311497	369	0.0	0.0	21.220806764311497	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.1074692055524	21.1074692055524	422	0.0	0.0	21.1074692055524	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.186734268551046	21.186734268551046	474	0.0	0.0	21.186734268551046	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.05148771633068	21.05148771633068	527	0.0	0.0	21.05148771633068	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	20.883169583765614	20.883169583765614	579	0.0	0.0	20.883169583765614	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.034554156904342	21.034554156904342	632	0.0	0.0	21.034554156904342	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.033103051755656	21.033103051755656	685	0.0	0.0	21.033103051755656	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	20.87122743671458	20.87122743671458	737	0.0	0.0	20.87122743671458	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.039706593501908	21.039706593501908	790	0.0	0.0	21.039706593501908	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.022625839779657	21.022625839779657	842	0.0	0.0	21.022625839779657	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.259628348345448	21.259628348345448	895	0.0	0.0	21.259628348345448	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	21.131150569726394	21.131150569726394	947	0.0	0.0	21.131150569726394	0.0	0.0	0.0	0.0	0.0
('c',)	6	1	20.95711390142804	20.95711390142804	1000	0.0	0.0	20.95711390142804	0.0	0.0	0.0	0.0	0.0
('d',)	7	1	68.04811825592739	68.04811825592739	1	0.0	0.0	0.0	68.04811825592739	0.0	0.0	0.0	0.0
('d',)	7	1	41.593405488917696	41.593405488917696	54	0.0	0.0	0.0	41.593405488917696	0.0	0.0	0.0	0.0
('d',)	7	1	40.56694476814935	40.56694476814935	106	0.0	0.0	0.0	40.56694476814935	0.0	0.0	0.0	0.0
('d',)	7	1	40.403765620709	40.403765620709	159	0.0	0.0	0.0	40.403765620709	0.0	0.0	0.0	0.0
('d',)	7	1	40.41650510392018	40.41650510392018	211	0.0	0.0	0.0	40.41650510392018	0.0	0.0	0.0	0.0
('d',)	7	1	40.24343183238283	40.24343183238283	264	0.0	0.0	0.0	40.24343183238283	0.0	0.0	0.0	0.0
('d',)	7	1	40.251712150218424	40.251712150218424	316	0.0	0.0	0.0	40.251712150218424	0.0	0.0	0.0	0.0
('d',)	7	1	40.66014966145737	40.66014966145737	369	0.0	0.0	0.0	40.66014966145737	0.0	0.0	0.0	0.0
('d',)	7	1	40.43059187002629	40.43059187002629	422	0.0	0.0	0.0	40.43059187002629	0.0	0.0	0.0	0.0
('d',)	7	1	40.881214776842754	40.881214776842754	474	0.0	0.0	0.0	40.881214776842754	0.0	0.0	0.0	0.0
('d',)	7	1	40.22063317517554	40.22063317517554	527	0.0	0.0	0.0	40.22063317517554	0.0	0.0	0.0	0.0
('d',)	7	1	40.99351901444536	40.99351901444536	579	0.0	0.0	0.0	40.99351901444536	0.0	0.0	0.0	0.0
('d',)	7	1	40.77341371546902	40.77341371546902	632	0.0	0.0	0.0	40.77341371546902	0.0	0.0	0.0	0.0
('d',)	7	1	40.21277066424831	40.21277066424831	685	0.0	0.0	0.0	40.21277066424831	0.0	0.0	0.0	0.0
('d',)	7	1	40.19558570230631	40.19558570230631	737	0.0	0.0	0.0	40.19558570230631	0.0	0.0	0.0	0.0
('d',)	7	1	40.842401835089426	40.842401835089426	790	0.0	0.0	0.0	40.842401835089426	0.0	0.0	0.0	0.0
('d',)	7	1	40.25486744358002	40.25486744358002	842	0.0	0.0	0.0	40.25486744358002	0.0	0.0	0.0	0.0
('d',)	7	1	40.64804800225668	40.64804800225668	895	0.0	0.0	0.0	40.64804800225668	0.0	0.0	0.0	0.0
('d',)	7	1	40.67196927362353	40.67196927362353	947	0.0	0.0	0.0	40.67196927362353	0.0	0.0	0.0	0.0
('d',)	7	1	40.55117603302884	40.55117603302884	1000	0.0	0.0	0.0	40.55117603302884	0.0	0.0	0.0	0.0
('d',)	8	1	37.08494383933594	37.08494383933594	1	0.0	0.0	0.0	37.08494383933594	0.0	0.0	0.0	0.0
('d',)	8	1	40.179649632802466	40.179649632802466	54	0.0	0.0	0.0	40.179649632802466	0.0	0.0	0.0	0.0
('d',)	8	1	40.2513080780398	40.2513080780398	106	0.0	0.0	0.0	40.2513080780398	0.0	0.0	0.0	0.0
('d',)	8	1	40.437059868317576	40.437059868317576	159	0.0	0.0	0.0	40.437059868317576	0.0	0.0	0.0	0.0
('d',)	8	1	41.00292309044389	41.00292309044389	211	0.0	0.0	0.0	41.00292309044389	0.0	0.0	0.0	0.0
('d',)	8	1	40.586283642375896	40.586283642375896	264	0.0	0.0	0.0	40.586283642375896	0.0	0.0	0.0	0.0
('d',)	8	1	40.89149641720255	40.89149641720255	316	0.0	0.0	0.0	40.89149641720255	0.0	0.0	0.0	0.0
('d',)	8	1	40.221637528956826	40.221637528956826	369	0.0	0.0	0.0	40.221637528956826	0.0	0.0	0.0	0.0
('d',)	8	1	40.32491901422998	40.32491901422998	422	0.0	0.0	0.0	40.32491901422998	0.0	0.0	0.0	0.0
('d',)	8	1	41.07023164114827	41.07023164114827	474	0.0	0.0	0.0	41.07023164114827	0.0	0.0	0.0	0.0
('d',)	8	1	40.3085965889892	40.3085965889892	527	0.0	0.0	0.0	40.3085965889892	0.0	0.0	0.0	0.0
('d',)	8	1	40.31703451523439	40.31703451523439	579	0.0	0.0	0.0	40.31703451523439	0.0	0.0	0.0	0.0
('d',)	8	1	40.247148274394654	40.247148274394654	632	0.0	0.0	0.0	40.247148274394654	0.0	0.0	0.0	0.0
('d',)	8	1	40.43360455831512	40.43360455831512	685	0.0	0.0	0.0	40.43360455831512	0.0	0.0	0.0	0.0
('d',)	8	1	40.421478209864894	40.421478209864894	737	0.0	0.0	0.0	40.421478209864894	0.0	0.0	0.0	0.0
('d',)	8	1	40.243103530147366	40.243103530147366	790	0.0	0.0	0.0	40.243103530147366	0.0	0.0	0.0	0.0
('d',)	8	1	40.342765011022756	40.342765011022756	842	0.0	0.0	0.0	40.342765011022756	0.0	0.0	0.0	0.0
('d',)	8	1	40.29569418759443	40.29569418759443	895	0.0	0.0	0.0	40.29569418759443	0.0	0.0	0.0	0.0
('d',)	8	1	40.45914687562235	40.45914687562235	947	0.0	0.0	0.0	40.45914687562235	0.0	0.0	0.0	0.0
('d',)	8	1	40.16770570703178	40.16770570703178	1000	0.0	0.0	0.0	40.16770570703178	0.0	0.0	0.0	0.0
('e',)	9	1	19.55858602082109	19.55858602082109	1	0.0	0.0	0.0	0.0	19.55858602082109	0.0	0.0	0.0
('e',)	9	1	15.539212430246883	15.539212430246883	54	0.0	0.0	0.0	0.0	15.539212430246883	0.0	0.0	0.0
('e',)	9	1	15.394169952071406	15.394169952071406	106	0.0	0.0	0.0	0.0	15.394169952071406	0.0	0.0	0.0
('e',)	9	1	15.367398731651464	15.367398731651464	159	0.0	0.0	0.0	0.0	15.367398731651464	0.0	0.0	0.0
('e',)	9	1	15.35992528453885	15.35992528453885	211	0.0	0.0	0.0	0.0	15.35992528453885	0.0	0.0	0.0
('e',)	9	1	15.382926955205507	15.382926955205507	264	0.0	0.0	0.0	0.0	15.382926955205507	0.0	0.0	0.0
('e',)	9	1	15.366794546737104	15.366794546737104	316	0.0	0.0	0.0	0.0	15.366794546737104	0.0	0.0	0.0
('e',)	9	1	15.428580007732142	15.428580007732142	369	0.0	0.0	0.0	0.0	15.428580007732142	0.0	0.0	0.0
('e',)	9	1	15.435191080410577	15.435191080410577	422	0.0	0.0	0.0	0.0	15.435191080410577	0.0	0.0	0.0
('e',)	9	1	15.45432882919536	15.45432882919536	474	0.0	0.0	0.0	0.0	15.45432882919536	0.0	0.0	0.0
('e',)	9	1	15.654266041621353	15.654266041621353	527	0.0	0.0	0.0	0.0	15.654266041621353	0.0	0.0	0.0
('e',)	9	1	15.508465363905296	15.508465363905296	579	0.0	0.0	0.0	0.0	15.508465363905296	0.0	0.0	0.0
('e',)	9	1	15.351443068297996	15.351443068297996	632	0.0	0.0	0.0	0.0	15.351443068297996	0.0	0.0	0.0
('e',)	9	1	15.4326891807376	15.4326891807376	685	0.0	0.0	0.0	0.0	15.4326891807376	0.0	0.0	0.0
('e',)	9	1	15.371810156557595	15.371810156557595	737	0.0	0.0	0.0	0.0	15.371810156557595	0.0	0.0	0.0
('e',)	9	1	15.586347580670276	15.586347580670276	790	0.0	0.0	0.0	0.0	15.586347580670276	0.0	0.0	0.0
('e',)	9	1	15.382827310689548	15.382827310689548	842	0.0	0.0	0.0	0.0	15.382827310689548	0.0	0.0	0.0
('e',)	9	1	15.688270014405985	15.688270014405985	895	0.0	0.0	0.0	0.0	15.688270014405985	0.0	0.0	0.0
('e',)	9	1	15.435760438730782	15.435760438730782	947	0.0	0.0	0.0	0.0	15.435760438730782	0.0	0.0	0.0
('e',)	9	1	15.560975759612884	15.560975759612884	1000	0.0	0.0	0.0	0.0	15.560975759612884	0.0	0.0	0.0
('e',)	10	1	25.29851037117301	25.29851037117301	1	0.0	0.0	0.0	0.0	25.29851037117301	0.0	0.0	0.0
('e',)	10	1	15.372692278135165	15.372692278135165	54	0.0	0.0	0.0	0.0	15.372692278135165	0.0	0.0	0.0
('e',)	10	1	15.500341405951339	15.500341405951339	106	0.0	0.0	0.0	0.0	15.500341405951339	0.0	0.0	0.0
('e',)	10	1	15.413642975769209	15.413642975769209	159	0.0	0.0	0.0	0.0	15.413642975769209	0.0	0.0	0.0
('e',)	10	1	15.38750543200233	15.38750543200233	211	0.0	0.0	0.0	0.0	15.38750543200233	0.0	0.0	0.0
('e',)	10	1	15.516973713508156	15.516973713508156	264	0.0	0.0	0.0	0.0	15.516973713508156	0.0	0.0	0.0
('e',)	10	1	15.482231961528583	15.482231961528583	316	0.0	0.0	0.0	0.0	15.482231961528583	0.0	0.0	0.0
('e',)	10	1	15.498746637970294	15.498746637970294	369	0.0	0.0	0.0	0.0	15.498746637970294	0.0	0.0	0.0
('e',)	10	1	15.390901146829842	15.390901146829842	422	0.0	0.0	0.0	0.0	15.390901146829842	0.0	0.0	0.0
('e',)	10	1	15.361007273057163	15.361007273057163	474	0.0	0.0	0.0	0.0	15.361007273057163	0.0	0.0	0.0
('e',)	10	1	15.409050143453324	15.409050143453324	527	0.0	0.0	0.0	0.0	15.409050143453324	0.0	0.0	0.0
('e',)	10	1	15.528545374927978	15.528545374927978	579	0.0	0.0	0.0	0.0	15.528545374927978	0.0	0.0	0.0
('e',)	10	1	15.385029843649159	15.385029843649159	632	0.0	0.0	0.0	0.0	15.385029843649159	0.0	0.0	0.0
('e',)	10	1	15.412752921201639	15.412752921201639	685	0.0	0.0	0.0	0.0	15.412752921201639	0.0	0.0	0.0
('e',)	10	1	15.420911726991415	15.420911726991415	737	0.0	0.0	0.0	0.0	15.420911726991415	0.0	0.0	0.0
('e',)	10	1	15.471384840501551	15.471384840501551	790	0.0	0.0	0.0	0.0	15.471384840501551	0.0	0.0	0.0
('e',)	10	1	15.407240874084106	15.407240874084106	842	0.0	0.0	0.0	0.0	15.407240874084106	0.0	0.0	0.0
('e',)	10	1	15.677083657757219	15.677083657757219	895	0.0	0.0	0.0	0.0	15.677083657757219	0.0	0.0	0.0
('e',)	10	1	15.344184450136678	15.344184450136678	947	0.0	0.0	0.0	0.0	15.344184450136678	0.0	0.0	0.0
('e',)	10	1	15.450796305966543	15.450796305966543	1000	0.0	0.0	0.0	0.0	15.450796305966543	0.0	0.0	0.0
('f',)	11	1	70.89809305927182	70.89809305927182	1	0.0	0.0	0.0	0.0	0.0	70.89809305927182	0.0	0.0
('f',)	11	1	49.67964285716404	49.67964285716404	54	0.0	0.0	0.0	0.0	0.0	49.67964285716404	0.0	0.0
('f',)	11	1	50.741408448907414	50.741408448907414	106	0.0	0.0	0.0	0.0	0.0	50.741408448907414	0.0	0.0
('f',)	11	1	49.42306361861091	49.42306361861091	159	0.0	0.0	0.0	0.0	0.0	49.42306361861091	0.0	0.0
('f',)	11	1	49.23341343061081	49.23341343061081	211	0.0	0.0	0.0	0.0	0.0	49.23341343061081	0.0	0.0
('f',)	11	1	49.24036644271964	49.24036644271964	264	0.0	0.0	0.0	0.0	0.0	49.24036644271964	0.0	0.0
('f',)	11	1	49.336496042677574	49.336496042677574	316	0.0	0.0	0.0	0.0	0.0	49.336496042677574	0.0	0.0
('f',)	11	1	50.140658619267086	50.140658619267086	369	0.0	0.0	0.0	0.0	0.0	50.140658619267086	0.0	0.0
('f',)	11	1	49.57261479847581	49.57261479847581	422	0.0	0.0	0.0	0.0	0.0	49.57261479847581	0.0	0.0
('f',)	11	1	49.474703569262445	49.474703569262445	474	0.0	0.0	0.0	0.0	0.0	49.474703569262445	0.0	0.0
('f',)	11	1	49.34460379333151	49.34460379333151	527	0.0	0.0	0.0	0.0	0.0	49.34460379333151	0.0	0.0
('f',)	11	1	49.713185054405436	49.713185054405436	579	0.0	0.0	0.0	0.0	0.0	49.713185054405436	0.0	0.0
('f',)	11	1	49.20116974632265	49.20116974632265	632	0.0	0.0	0.0	0.0	0.0	49.20116974632265	0.0	0.0
('f',)	11	1	49.1813255241789	49.1813255241789	685	0.0	0.0	0.0	0.0	0.0	49.1813255241789	0.0	0.0
('f',)	11	1	49.23652726049002	49.23652726049002	737	0.0	0.0	0.0	0.0	0.0	49.23652726049002	0.0	0.0
('f',)	11	1	49.42163344636639	49.42163344636639	790	0.0	0.0	0.0	0.0	0.0	49.42163344636639	0.0	0.0
('f',)	11	1	49.30382836757036	49.30382836757036	842	0.0	0.0	0.0	0.0	0.0	49.30382836757036	0.0	0.0
('f',)	11	1	49.52271226249733	49.52271226249733	895	0.0	0.0	0.0	0.0	0.0	49.52271226249733	0.0	0.0
('f',)	11	1	49.26049505747473	49.26049505747473	947	0.0	0.0	0.0	0.0	0.0	49.26049505747473	0.0	0.0
('f',)	11	1	49.61338199975668	49.61338199975668	1000	0.0	0.0	0.0	0.0	0.0	49.61338199975668	0.0	0.0
('f',)	12	1	52.463659938701824	52.463659938701824	1	0.0	0.0	0.0	0.0	0.0	52.463659938701824	0.0	0.0
